Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DOrder 3/x + d/sin x * exp (y^2 + z)/liftSmoothSerisAD,6.63450502067195e-5,6.607358745490231e-5,6.6765530490958e-5,1.1466741766018123e-6,7.262545663123041e-7,1.8433153377926181e-6
DOrder 3/x + d/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,3.5603509380470696e-5,3.517154426999863e-5,3.7316816221363115e-5,2.6419281179205367e-6,8.093545148906498e-7,5.41105426356183e-6
DOrder 3/dense/identity/liftSmoothSeries,3.5955486694062436e-5,3.583240425378058e-5,3.61564661043805e-5,5.385679257816445e-7,3.8638949210597914e-7,7.697184831851974e-7
DOrder 3/dense/identity/liftSmoothSerisAD,4.131397592733985e-5,4.117950988225209e-5,4.144696451900838e-5,4.408111680041948e-7,3.51417663338567e-7,5.844293703460103e-7
DOrder 3/dense/identity/liftSmoothSuccinctTower,1.3362013629111682e-5,1.3304283683292115e-5,1.3411074487705174e-5,1.8136564630407657e-7,1.452616000775432e-7,2.3574228559752539e-7
DOrder 3/dense/exp x/liftSmoothSeries,4.197348719740948e-5,4.1349936510872154e-5,4.35564395482195e-5,3.1131532399988886e-6,1.0039926351194936e-6,5.770328798821496e-6
DOrder 3/dense/exp x/liftSmoothSerisAD,4.3997875908972136e-5,4.3827611911198326e-5,4.437276796017383e-5,8.008189426603383e-7,4.82189352213048e-7,1.3449854793085995e-6
DOrder 3/dense/exp x/liftSmoothSuccinctTower,1.51409564341227e-5,1.5093538652381663e-5,1.5183061375665633e-5,1.5559198530432666e-7,1.3411035325658958e-7,1.8761837265697837e-7
DOrder 3/dense/sin x * exp (x^2 + x)/liftSmoothSeries,6.119348974465649e-5,6.087481328466296e-5,6.162754458918539e-5,1.289815758232054e-6,9.336253785947881e-7,1.8003641719614899e-6
DOrder 3/dense/sin x * exp (x^2 + x)/liftSmoothSerisAD,5.272224632052374e-5,5.248712471857108e-5,5.295286768317766e-5,8.484165650039827e-7,7.298890447526231e-7,1.1339783023619278e-6
DOrder 3/dense/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,2.0374971556245928e-5,2.0320798588744533e-5,2.0465023888056577e-5,2.476991389665538e-7,1.504960763097783e-7,4.441576322984725e-7
DOrder 3/dense/sin x * exp (y^2 + z)/liftSmoothSeries,4.8469945683291796e-4,4.827307986589542e-4,4.882395841251389e-4,8.741718935559219e-6,5.54475939942866e-6,1.497681939487482e-5
DOrder 3/dense/sin x * exp (y^2 + z)/liftSmoothSerisAD,9.07383266020133e-5,9.006565600639173e-5,9.201151395003253e-5,3.1000696338402106e-6,1.3010006792332025e-6,5.3006058601472755e-6
DOrder 3/dense/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,4.0842402444667285e-5,4.065027374090871e-5,4.1157812926119994e-5,8.18103887184715e-7,4.6103342171983667e-7,1.3504086482308326e-6
DOrder 4/sparse/identity/liftSmoothSeries,6.16102757925389e-5,6.142194659077211e-5,6.179754457260964e-5,6.153096432930567e-7,4.6046030679487566e-7,8.23706595509931e-7
DOrder 4/sparse/identity/liftSmoothSerisAD,2.3878669246080297e-5,2.3764868481096295e-5,2.432839499707739e-5,6.352140244805998e-7,2.7328256451224615e-7,1.3258848040476943e-6
DOrder 4/sparse/identity/liftSmoothSuccinctTower,4.552608071159553e-6,4.531029686892889e-6,4.596627228295341e-6,9.355564273803121e-8,6.098552843042381e-8,1.526493512974412e-7
DOrder 4/sparse/exp x/liftSmoothSeries,7.777297103768926e-5,7.751143514569846e-5,7.801299377661116e-5,8.697291757341561e-7,6.928072667848623e-7,1.2191097269997441e-6
DOrder 4/sparse/exp x/liftSmoothSerisAD,2.4652358658086473e-5,2.4572514540723818e-5,2.4716331967501782e-5,2.474076673402568e-7,2.007815740484381e-7,3.3027302437198814e-7
DOrder 4/sparse/exp x/liftSmoothSuccinctTower,4.760366200130495e-6,4.739857000296277e-6,4.792487802158298e-6,8.380801056170012e-8,5.8061400659035084e-8,1.2656468165739543e-7
DOrder 4/sparse/sin x * exp (x^2 + x)/liftSmoothSeries,1.3993899563984936e-4,1.3945794767442345e-4,1.408889672686253e-4,2.235521974619866e-6,1.2727880081646164e-6,3.9771840400128244e-6
DOrder 4/sparse/sin x * exp (x^2 + x)/liftSmoothSerisAD,2.6613558342565783e-5,2.6520966484192187e-5,2.668071469571326e-5,2.888380277371309e-7,2.3396978828210869e-7,3.8424203278348315e-7
DOrder 4/sparse/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,5.148736061506058e-6,5.128089183697408e-6,5.170616893857609e-6,6.81465514920114e-8,5.391255072843309e-8,9.718594946558866e-8
DOrder 4/sparse/sin x * exp (y^2 + z)/liftSmoothSeries,2.695030941400601e-3,2.6759823692338136e-3,2.7555022796607936e-3,1.0301571982400536e-4,4.098720969952495e-5,2.0114895856065742e-4
DOrder 4/sparse/sin x * exp (y^2 + z)/liftSmoothSerisAD,3.856326297185168e-5,3.839329381369588e-5,3.869114094437852e-5,4.961101039532049e-7,4.170634577260115e-7,6.187043684120986e-7
DOrder 4/sparse/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,1.5181122051629961e-5,1.5124961369546675e-5,1.5229618989983252e-5,1.7573524872325023e-7,1.441323697133731e-7,2.2909575465576397e-7
DOrder 4/x + d/identity/liftSmoothSeries,6.892557902910499e-5,6.863422153385132e-5,6.91556266215581e-5,8.774838222193865e-7,7.29048925194023e-7,1.1321906904914284e-6
DOrder 4/x + d/identity/liftSmoothSerisAD,3.8317481212165885e-5,3.815714220918619e-5,3.847969345472798e-5,5.711802245632972e-7,4.325229439789072e-7,8.082226515010369e-7
DOrder 4/x + d/identity/liftSmoothSuccinctTower,9.82181640811101e-6,9.746852685262306e-6,9.99735167068594e-6,3.6991346286325005e-7,1.2063918674139059e-7,5.949639579442387e-7
DOrder 4/x + d/exp x/liftSmoothSeries,8.824950077384188e-5,8.784800888633967e-5,8.890836167236663e-5,1.6567010160676392e-6,1.1314226403981803e-6,2.790227506107017e-6
DOrder 4/x + d/exp x/liftSmoothSerisAD,4.4424424819189395e-5,4.434153812220204e-5,4.4717937478716366e-5,4.5851317716086027e-7,2.0611355963238683e-7,9.590392926599308e-7
DOrder 4/x + d/exp x/liftSmoothSuccinctTower,1.664207090733778e-5,1.650760499633874e-5,1.7048287400498453e-5,7.212823754295857e-7,2.051602635415465e-7,1.4733704324457975e-6
DOrder 4/x + d/sin x * exp (x^2 + x)/liftSmoothSeries,1.5288353564919027e-4,1.5213703481938782e-4,1.5383793991485099e-4,2.86764436956454e-6,2.349162869574689e-6,3.879871893892475e-6
DOrder 4/x + d/sin x * exp (x^2 + x)/liftSmoothSerisAD,6.049903722822473e-5,6.02452442773073e-5,6.085530837498399e-5,9.739115625529055e-7,7.293839324781574e-7,1.4009041298305699e-6
DOrder 4/x + d/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,2.490363749830874e-5,2.474392625077058e-5,2.519594326847755e-5,7.342762349243609e-7,5.246774703240185e-7,1.1955220490095694e-6
DOrder 4/x + d/sin x * exp (y^2 + z)/liftSmoothSeries,2.8712370667373765e-3,2.8333373104804174e-3,2.9191235791827517e-3,1.5125023642344914e-4,1.0746028363755808e-4,2.2341068381658656e-4
DOrder 4/x + d/sin x * exp (y^2 + z)/liftSmoothSerisAD,8.362877544999033e-5,8.321817195469666e-5,8.426447201584204e-5,1.647132443680987e-6,8.89821426420902e-7,2.5511873385570316e-6
DOrder 4/x + d/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,4.326975105703659e-5,4.3152063616834066e-5,4.355933708476618e-5,5.608459401511022e-7,1.1631785982969872e-7,9.800720066806522e-7
DOrder 4/dense/identity/liftSmoothSeries,7.568686987916343e-5,7.551832783768811e-5,7.608097945257646e-5,7.911817166046836e-7,4.009364581634222e-7,1.3069013990603587e-6
DOrder 4/dense/identity/liftSmoothSerisAD,7.340090419233709e-5,7.328188893949055e-5,7.358684833005705e-5,4.893263170073507e-7,3.0718782090136997e-7,7.199831779762792e-7
DOrder 4/dense/identity/liftSmoothSuccinctTower,1.9339785489080987e-5,1.919929936024742e-5,1.970752678187662e-5,7.615687846818062e-7,1.5462318798122182e-7,1.5726049653092694e-6
DOrder 4/dense/exp x/liftSmoothSeries,9.21637828960482e-5,9.183454274966928e-5,9.378633656402245e-5,2.089881221954388e-6,1.627563927574907e-7,4.779356533024048e-6
DOrder 4/dense/exp x/liftSmoothSerisAD,7.713766611135389e-5,7.704645141474363e-5,7.731870793145159e-5,4.187582968767513e-7,2.0130295499690066e-7,6.863290382122278e-7
DOrder 4/dense/exp x/liftSmoothSuccinctTower,2.2587621726898753e-5,2.248773375805436e-5,2.274153909028854e-5,4.4232784133659233e-7,3.238452112555078e-7,6.052603704408233e-7
DOrder 4/dense/sin x * exp (x^2 + x)/liftSmoothSeries,1.5437980826488176e-4,1.534581448772851e-4,1.5585648019696168e-4,3.864955304528525e-6,2.88046113422522e-6,4.96089583177159e-6
DOrder 4/dense/sin x * exp (x^2 + x)/liftSmoothSerisAD,9.505011537795691e-5,9.36732438189549e-5,9.889918546802905e-5,7.362875383528788e-6,2.216437598827574e-6,1.5772893431087868e-5
DOrder 4/dense/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,3.0876983223417106e-5,3.083234589019824e-5,3.094946717104244e-5,1.8295858417427292e-7,9.553318663968911e-8,2.8067210436182346e-7
DOrder 4/dense/sin x * exp (y^2 + z)/liftSmoothSeries,2.847510058301671e-3,2.815537175236686e-3,2.9233040851283794e-3,1.4534256509212326e-4,1.8036925056146323e-5,2.563809503891489e-4
DOrder 4/dense/sin x * exp (y^2 + z)/liftSmoothSerisAD,1.7305512864812902e-4,1.7189549111812382e-4,1.752232949310748e-4,4.8683820803586795e-6,3.3371140904019267e-6,7.181986581315725e-6
