size,AD,STower
1,1.0282488758024705e-5,6.8289780656823305e-6
2,1.651529666445408e-5,1.1868414905898913e-5
3,2.80248296518717e-5,1.8324234399756938e-5
4,3.978194890013216e-5,2.340514483098569e-5
5,5.591463151226728e-5,3.099119648632777e-5
6,7.46017004756418e-5,3.592243745687988e-5
7,8.153208011809698e-5,4.254621892528886e-5
8,1.1217103120257956e-4,5.1713340114033174e-5
9,1.1559356950938353e-4,5.5874687742740755e-5
10,1.58623617431382e-4,7.039539058333626e-5
