size,AD,AD-diffs,STower
0,3320,24,2832
1,7792,24,4360
2,12064,24,5552
3,15480,24,4696
4,20608,24,5552
5,24880,24,5552
6,29152,24,5552
7,33424,24,4696
8,37696,24,5552
9,41968,24,5552
10,46240,24,5552
